site,n_obs,ra_std,dec_std
C57,14468129,1.0122285976188004,1.0049626026886431
T05,11312274,0.18368401344041438,0.16784293679270407
T08,10271140,0.18244151465797726,0.17079267915269236
704,8003100,0.6751815238272499,0.582131484034232
703,7126536,0.3870220915008417,0.3239239226333542
W68,4948393,0.18921809012296706,0.17532772929370236
G96,4126408,0.13130457224844416,0.1073753592796406
M22,3604527,0.18622597533191776,0.1748604225841454
F51,2810361,0.07881168511976473,0.06411999415718135
G45,2466361,0.23385815327660897,0.20177188680927333
I41,2414802,0.15635444597862988,0.0901712239083845
D29,2178868,0.19836108813908773,0.18119081254029187
P07,1934482,0.2536338331992415,0.21283480658823264
F52,1407761,0.0524856028705367,0.03983082850867729
699,1261186,0.4950147451578642,0.37799424426535233
C51,1138129,0.30915578432128926,0.34120432466079714
R17,1083668,0.1326853389709084,0.10960595917483637
691,889827,0.29692520440973086,0.18454505982472835
644,600165,0.32798992764640045,0.2467283189540391
E12,570666,0.34552362206656445,0.29083373180112077
Z22,381281,0.4572619043258093,0.4332902436083357
608,362770,0.7293796339039635,0.7789671032308794
689,349172,0.14641700677733735,0.1464119296717879
O18,335402,0.08710758349890174,0.07980481595725328
J43,258444,0.2345999169317895,0.18969702397835755
J75,197934,0.24568758166160246,0.22031340073876135
C41,195430,0.5483530658009174,0.41792594995230287
H15,183824,0.3849658443742193,0.2724711177950964
K95,165766,0.4099606575456722,0.36591870152092765
327,156112,0.21104584486255473,0.18104655848567924
Y00,144111,0.4788065882910919,0.3492093456293027
V00,118671,0.06097506986987872,0.05451791843975225
809,111674,1.315554939011505,1.2099586264782658
106,102469,0.24983803777782615,0.2508280637970463
683,101329,0.6922083285551262,0.8876963223864708
W92,92312,0.7901666870245063,0.6061276925054231
675,91403,0.9661461505532248,1.0720987565054805
C94,77936,0.5284626456267858,0.480856743517716
W84,75674,0.10994183147628234,0.0669307994602275
N86,64357,0.4914353182443089,0.38286107594924446
K19,59464,0.3096936293486743,0.24541964979016978
333,58954,0.45761741642864207,0.3826252129627528
095,58840,1.9827943168787128,1.920724595897206
926,57741,0.2898520981089814,0.22625921142182498
W94,56875,0.21366890825206272,0.14674702263509792
291,43625,0.4375700261235584,0.21879917673478383
J04,43119,0.24649619817259075,0.19902804965976986
A24,39676,0.37483562682165295,0.2572805013952129
M01,39191,0.23507160326425738,0.2061314520094258
673,38100,0.06990271631493504,0.04970064154993482
566,37624,0.5955911420830424,0.6412389928370266
046,35057,1.3164661580257813,1.2071909354655521
D54,34469,0.49700401524447274,0.5060744921691525
W98,33115,0.5534569765882269,0.394429907921849
Q60,31129,0.48679452666683426,0.31009948917416974
688,29664,1.177281202105833,1.4006808038368121
801,28679,0.6480570772844666,0.6276572851645793
645,27364,0.07804336488501067,0.052762961379834925
W91,25832,0.12303742841800543,0.08945645426372227
L52,25739,0.5276530378168908,0.5356734613818858
X05,25295,0.01236807850918593,0.010125492693090413
H07,24359,0.4529924122922738,0.38571092343401886
413,23895,1.1194301716480517,0.8089351248349719
U55,22880,0.581563585545467,0.44697425435628535
950,22589,0.27973094303064433,0.22788828683603068
U71,21680,0.4238147032464013,0.3667347845534166
G92,21247,0.40943572196682143,0.34773815364752897
K81,19774,0.3267382183149233,0.27153378611981766
D00,19262,0.32270149828253936,0.1759398068523043
W95,19127,0.316745352058575,0.23763670542859522
300,18442,0.5320571415316352,0.6600477973632565
557,17909,0.2846895476288013,0.22607306079430275
A50,16599,0.3697612432405518,0.31771600373941605
246,16355,0.32858599831709256,0.3195330241674136
071,15644,0.48814764996566107,0.33056728150858616
X74,14973,0.4845396734553963,0.30151508205662725
A77,14890,0.4402595168853282,0.3258766736553629
599,14758,0.27866809583462304,0.2123176576199341
A14,14669,0.23608878458395285,0.19544543395898545
033,13600,0.751078536177614,0.5948657570432795
084,12891,0.24831734414389492,0.2109097045163422
H21,12836,0.20252058041923945,0.17461377315309023
120,12732,0.7003802129770104,0.528719347145983
D35,12722,0.35920760288847464,0.25007573831062524
411,12678,0.6366732494815968,0.5957058967966097
Z32,12417,0.14875054586297418,0.07162064755163078
858,12004,0.2268636191140921,0.17989928358654975
K88,11607,0.19278038318154322,0.17498145701379172
A84,11567,0.12779331212527062,0.09904753680685997
160,11194,0.2950042376365493,0.27041425153321436
118,10492,0.44258787912927866,0.32953546722992366
C40,10216,0.21054689277854924,0.15671805367392105
399,10040,1.6326881011960968,1.1375685966879754
461,9948,0.20294075557445215,0.14041365620510365
020,9752,1.2925619171033118,1.3921594165360835
910,9731,1.1316960040432666,0.5949057052780788
G36,9730,0.10219031443590536,0.08548168804443383
I52,9727,0.18087617168813577,0.15863756788620315
309,9669,0.10804366909478877,0.08651855647724623
089,9588,0.14908419374424006,0.16103405610242968
999,9574,0.20793449894962976,0.24793776738074041
808,9571,1.0166510272091993,0.9790400835089305
I40,9545,0.11737261620428166,0.10272331174018522
Q62,9418,0.7958734208605496,0.4513674044395627
610,9332,0.7671946362271657,0.634969810049513
716,9282,0.255611644457075,0.17532519983934705
049,9274,0.9614218521118738,0.6030775661716649
T09,8987,0.14307871064673217,0.14183412193714875
568,8671,0.28302822749300066,0.20956208525421297
104,8593,0.57013290673536,0.5187503248152708
010,8534,1.8814602907029212,1.7143834691516882
N56,8501,0.5833000610744407,0.3918981322871047
C95,8219,0.2080521102443788,0.17209868407005124
I13,7966,0.3502368413922517,0.30479201506086834
807,7854,0.4340625255360416,0.3031471352900986
428,7567,0.3631350424685653,0.2609926901956611
185,7495,0.394201493792086,0.3576281160520503
400,7180,1.6504549729736264,1.3893020502945914
V11,6888,0.46343222323758626,0.3791520376640945
330,6830,1.6437828662718625,1.4293440935072528
Q21,6806,0.552808833013021,0.5362240406996706
270,6708,0.6917729749247632,0.6294058134002093
152,6423,0.3504530070350424,0.30128243877554045
H06,6123,0.29021354653426956,0.2893771601841473
I02,6003,0.19244321843085452,0.1542934228144063
069,5895,0.1843241346899401,0.1574343377541935
Z73,5694,0.14555954229580848,0.12250523192248576
705,5658,0.14266626195178755,0.11266457381157119
C23,5459,0.34666684483161797,0.28213923158832654
Y89,5445,0.450937348789377,0.3431570965231486
323,5405,1.2048200803459022,1.0250133589812083
G32,5394,0.25025776825349993,0.21073342577544404
169,5322,0.3508440253330654,0.2588333555977966
739,5283,0.629322191391362,0.527414651550561
012,5245,0.7471318950414274,0.6218976644349111
621,5031,0.24137816110569413,0.23417888902163342
073,4951,0.7242649200033555,0.547159072888988
L98,4910,0.15433364476679026,0.14742694755741248
628,4882,0.19371083816132226,0.18086731074411666
372,4860,1.8445441418812771,1.4554408329307242
V32,4841,0.2657350649050023,0.24919399740000647
D03,4836,0.31216259713764644,0.26105784664099796
